mm,mp,t,p,c,y6
534.4,525,308,12,768,9
534.4,525,308,15,816,12.8
534.4,525,308,18,848,18.6
534.4,525,308,21,874,21.2
534.4,525,308,24,896,24.5
534.4,525,308,27,914,33.5
534.4,525,308,30,930,37.8
534.4,525,308,33,944,41.4
534.4,525,318,12,660,6.7
534.4,525,318,15,743,10.3
534.4,525,318,18,790,13.8
534.4,525,318,21,824,28.6
534.4,525,318,24,850,34.8
534.4,525,318,27,872,37.1
534.4,525,318,30,891,41.7
534.4,525,318,33,907,45.6
534.4,525,328,12,506,4.5
534.4,525,328,15,654,12.6
534.4,525,328,18,724,20.3
534.4,525,328,21,769,34.8
534.4,525,328,24,802,37.8
534.4,525,328,27,829,47.8
534.4,525,328,30,851,53.7
534.4,525,328,33,870,55.6
534.4,525,338,12,384,8.3
534.4,525,338,15,555,13.7
534.4,525,338,18,651,27.9
534.4,525,338,21,710,43.5
534.4,525,338,24,751,64.2
534.4,525,338,27,783,70.5
534.4,525,338,30,810,73.4
534.4,525,338,33,831,76.7
277.263,526,308,12,769,5.1
277.263,526,308,15,817,6.4
277.263,526,308,18,849,6.7
277.263,526,308,21,875,7.4
277.263,526,308,24,896,8.1
277.263,526,308,27,914,8.6
277.263,526,318,12,661,4
277.263,526,318,15,744,7.1
277.263,526,318,18,791,7.7
277.263,526,318,21,824,9.4
277.263,526,318,24,851,11.2
277.263,526,318,27,872,12.5
277.263,526,328,12,509,3.4
277.263,526,328,15,656,8.1
277.263,526,328,18,725,9.6
277.263,526,328,21,769,11.9
277.263,526,328,24,802,13.4
277.263,526,328,27,829,15.6
277.263,526,338,12,388,2.7
277.263,526,338,15,557,9
277.263,526,338,18,652,12
277.263,526,338,21,710,15
277.263,526,338,24,751,17.1
277.263,526,338,27,783,18.3
359.35,362,308,15.2,818,7.6
359.35,362,308,18.2,850,11.8
359.35,362,308,21.2,876,14.6
359.35,362,308,24.3,897,19.6
359.35,362,308,27.3,916,22.2
359.35,362,308,30.4,931,24.9
359.35,362,308,33.4,946,28.5
359.35,362,308,35.4,955,30.2
359.35,362,318,15.2,745,8.4
359.35,362,318,18.2,792,13.8
359.35,362,318,21.2,826,21.2
359.35,362,318,24.3,852,27.2
359.35,362,318,27.3,875,37.3
359.35,362,318,30.4,893,41.8
359.35,362,318,33.4,910,51.4
359.35,362,318,35.4,919,57.1
359.35,362,328,15.2,657,3.7
359.35,362,328,18.2,726,12.5
359.35,362,328,21.2,771,22.8
359.35,362,328,24.3,804,33.5
359.35,362,328,27.3,831,44.9
359.35,362,328,30.4,853,57
359.35,362,328,33.4,872,73.8
359.35,362,328,35.4,884,84.2
359.35,362,338,15.2,561,2.7
359.35,362,338,18.2,654,9.5
359.35,362,338,21.2,712,23.3
359.35,362,338,24.3,754,38.3
359.35,362,338,27.3,786,47.5
359.35,362,338,30.4,812,77.5
359.35,362,338,33.4,834,100
359.35,362,338,35.4,848,123
359.35,362,348,15.2,477,3.2
359.35,362,348,18.2,585,9
359.35,362,348,21.2,652,19.7
359.35,362,348,24.3,702,33
359.35,362,348,27.3,740,50.5
359.35,362,348,30.4,772,83.8
359.35,362,348,33.4,796,118
359.35,362,348,35.4,811,159
807.87,462,308,15.2,818,37
807.87,462,308,18.2,850,53
807.87,462,308,21.2,876,58
807.87,462,308,24.3,897,62
807.87,462,308,27.3,916,66
807.87,462,308,30.4,931,68
807.87,462,308,33.4,946,71
807.87,462,308,35.4,955,72
807.87,462,318,15.2,745,84
807.87,462,318,18.2,792,79
807.87,462,318,21.2,826,93
807.87,462,318,24.3,852,103
807.87,462,318,27.3,875,114
807.87,462,318,30.4,893,121
807.87,462,318,33.4,910,128
807.87,462,318,35.4,919,153
807.87,462,328,15.2,657,66
807.87,462,328,18.2,726,103
807.87,462,328,21.2,771,134
807.87,462,328,24.3,804,159
807.87,462,328,27.3,831,196
807.87,462,328,30.4,853,214
807.87,462,328,33.4,872,230
807.87,462,328,35.4,884,284
807.87,462,338,15.2,561,113
807.87,462,338,18.2,654,121
807.87,462,338,21.2,712,177
807.87,462,338,24.3,754,244
807.87,462,338,27.3,786,335
807.87,462,338,30.4,812,372
807.87,462,338,33.4,834,406
807.87,462,338,35.4,848,503
807.87,462,348,15.2,477,62
807.87,462,348,18.2,585,139
807.87,462,348,21.2,652,221
807.87,462,348,24.3,702,323
807.87,462,348,27.3,740,452
807.87,462,348,30.4,772,531
807.87,462,348,33.4,796,668
807.87,462,348,35.4,811,702
295.73,615.9,308,13,786.89,4.88
295.73,615.9,308,17,838.96,5.97
295.73,615.9,308,21,874.4,6.61
295.73,615.9,308,25,901.87,7.41
295.73,615.9,308,29,924.56,7.61
295.73,615.9,318,13,695.25,4.66
295.73,615.9,318,17,776.53,6.28
295.73,615.9,318,21,823.71,7.21
295.73,615.9,318,25,857.82,7.9
295.73,615.9,318,29,884.91,8.18
295.73,615.9,328,13,573.33,4.8
295.73,615.9,328,17,704.97,6.2
295.73,615.9,328,21,768.74,7.95
295.73,615.9,328,25,811.37,8.47
295.73,615.9,328,29,843.77,9.19
295.73,615.9,338,13,449.02,4.17
295.73,615.9,338,17,625.09,6.41
295.73,615.9,338,21,709.69,8.51
295.73,615.9,338,25,762.69,9.11
295.73,615.9,338,29,801.33,10.1
450.3,470.15,308,12,769,4.83
450.3,470.15,308,15,817,5.15
450.3,470.15,308,18,849,5.56
450.3,470.15,308,21,875,6.86
450.3,470.15,308,24,896,7.3
450.3,470.15,308,27,914,7.91
450.3,470.15,318,12,661,3.15
450.3,470.15,318,15,744,5.66
450.3,470.15,318,18,791,6.5
450.3,470.15,318,21,824,7.99
450.3,470.15,318,24,851,8.99
450.3,470.15,318,27,872,9.58
450.3,470.15,328,12,509,2.6
450.3,470.15,328,15,656,6.29
450.3,470.15,328,18,725,7.49
450.3,470.15,328,21,769,9.18
450.3,470.15,328,24,802,9.95
450.3,470.15,328,27,829,10.57
450.3,470.15,338,12,388,1.56
450.3,470.15,338,15,557,6.75
450.3,470.15,338,18,652,8.7
450.3,470.15,338,21,710,9.93
450.3,470.15,338,24,751,10.83
450.3,470.15,338,27,783,12.19
429.9,511.2,308,12,768.42,3.72
429.9,511.2,308,15,816.06,4.95
429.9,511.2,308,18,848.87,7.34
429.9,511.2,308,21,874.4,8.94
429.9,511.2,308,24,895.54,10.49
429.9,511.2,308,27,913.69,12.04
429.9,511.2,308,30,929.68,14.19
429.9,511.2,318,12,659.73,2.5
429.9,511.2,318,15,743.17,4.07
429.9,511.2,318,18,790.18,5.74
429.9,511.2,318,21,823.7,9.07
429.9,511.2,318,24,850.1,12.31
429.9,511.2,318,27,872,14.78
429.9,511.2,318,30,890.9,17.16
429.9,511.2,328,12,506.85,1.5
429.9,511.2,328,15,654.94,2.74
429.9,511.2,328,18,724.13,5.2
429.9,511.2,328,21,768.74,8.96
429.9,511.2,328,24,801.92,13.17
429.9,511.2,328,27,828.51,15.28
429.9,511.2,328,30,850.83,19.06
429.9,511.2,338,12,384.17,1.2
429.9,511.2,338,15,555.23,2.19
429.9,511.2,338,18,651.18,4.09
429.9,511.2,338,21,709.69,8.53
429.9,511.2,338,24,751.17,14.29
429.9,511.2,338,27,783.29,16.88
429.9,511.2,338,30,809.58,21.24
259.25,560.65,308,12,768.42,17
259.25,560.65,308,15,816.06,22
259.25,560.65,308,18,848.87,31
259.25,560.65,308,21,874.4,36
259.25,560.65,308,24,895.54,45
259.25,560.65,308,27,913.69,56
259.25,560.65,308,30,929.68,70
259.25,560.65,318,12,659.73,9
259.25,560.65,318,15,743.17,17
259.25,560.65,318,18,790.18,30
259.25,560.65,318,21,823.71,39
259.25,560.65,318,24,850.1,51
259.25,560.65,318,27,872.04,67
259.25,560.65,318,30,890.92,83
259.25,560.65,328,12,506.85,4
259.25,560.65,328,15,654.94,14
259.25,560.65,328,18,724.13,31
259.25,560.65,328,21,768.74,44
259.25,560.65,328,24,801.92,58
259.25,560.65,328,27,828.51,80
259.25,560.65,328,30,850.83,94
259.25,560.65,338,12,384.17,2
259.25,560.65,338,15,555.23,10
259.25,560.65,338,18,651.18,32
259.25,560.65,338,21,709.69,52
259.25,560.65,338,24,751.17,72
259.25,560.65,338,27,783.29,93
259.25,560.65,338,30,809.58,108
285.303,457.65,318,12,659.7,5.4
285.303,457.65,318,18,790.1,9.5
285.303,457.65,318,24,850.1,11.1
285.303,457.65,318,30,890.9,14.5
285.303,457.65,318,36,922,17
285.303,457.65,328,12,506.8,2.9
285.303,457.65,328,18,724.1,10.7
285.303,457.65,328,24,801.9,15.6
285.303,457.65,328,30,850.8,21
285.303,457.65,328,36,887.1,25.8
285.303,457.65,338,12,384.1,2.1
285.303,457.65,338,18,651.1,14.1
285.303,457.65,338,24,751.1,29.8
285.303,457.65,338,30,809.6,45.6
285.303,457.65,338,36,851.3,51.1
285.303,457.65,348,12,318.9,1.6
285.303,457.65,348,18,575.9,16.7
285.303,457.65,348,24,698.5,44.5
285.303,457.65,348,30,767.5,71.7
285.303,457.65,348,36,815.1,85.1
246.1,383.15,308,12,768.42,67.5
246.1,383.15,308,16,828.1,132
246.1,383.15,308,20,866.48,177
246.1,383.15,308,24,895.54,223
246.1,383.15,308,28,919.23,277
246.1,383.15,308,32,939.39,341
246.1,383.15,308,36,957.02,393
246.1,383.15,308,40,972.74,429
246.1,383.15,318,12,659.73,34.6
246.1,383.15,318,16,761.07,113
246.1,383.15,318,20,813.52,194
246.1,383.15,318,24,850.1,270
246.1,383.15,318,28,878.62,385
246.1,383.15,318,32,902.22,501
246.1,383.15,318,36,922.46,567
246.1,383.15,318,40,940.24,707
246.1,383.15,328,12,506.85,22
246.1,383.15,328,16,682.39,76.5
246.1,383.15,328,20,755.52,223
246.1,383.15,328,24,801.92,309
246.1,383.15,328,28,836.35,488
246.1,383.15,328,32,863.97,660
246.1,383.15,328,36,887.18,816
246.1,383.15,328,40,907.27,881
246.1,383.15,338,12,384.17,13.5
246.1,383.15,338,16,593.75,63.3
246.1,383.15,338,20,692.68,207
246.1,383.15,338,24,751.17,373
246.1,383.15,338,28,792.59,607
246.1,383.15,338,32,824.82,820
246.1,383.15,338,36,851.34,901
246.1,383.15,338,40,873.95,1280
584,480.15,308,12,769,1.04
584,480.15,308,15,817,1.25
584,480.15,308,18,849,1.51
584,480.15,308,21,875,1.95
584,480.15,308,24,896,2.19
584,480.15,308,27,914,2.7
584,480.15,318,12,661,0.71
584,480.15,318,15,744,1.41
584,480.15,318,18,791,1.99
584,480.15,318,21,824,2.28
584,480.15,318,24,851,2.69
584,480.15,318,27,872,3.13
584,480.15,328,12,509,0.51
584,480.15,328,15,656,1.91
584,480.15,328,18,725,2.39
584,480.15,328,21,769,3.13
584,480.15,328,24,802,4.33
584,480.15,328,27,829,5.14
584,480.15,338,12,388,0.32
584,480.15,338,15,557,2.52
584,480.15,338,18,652,3.55
584,480.15,338,21,710,4.24
584,480.15,338,24,751,5.63
584,480.15,338,27,783,5.99
447.5,545.19,308,12,769,3.91
447.5,545.19,308,15,817,5.01
447.5,545.19,308,18,849,5.52
447.5,545.19,308,21,875,6.27
447.5,545.19,308,24,896,6.97
447.5,545.19,308,27,914,9.14
447.5,545.19,318,12,661,2.21
447.5,545.19,318,15,744,3.49
447.5,545.19,318,18,791,4.19
447.5,545.19,318,21,824,7.38
447.5,545.19,318,24,851,8.6
447.5,545.19,318,27,872,12.42
447.5,545.19,328,12,509,1.1
447.5,545.19,328,15,656,2.1
447.5,545.19,328,18,725,2.81
447.5,545.19,328,21,769,8.4
447.5,545.19,328,24,802,9.72
447.5,545.19,328,27,829,14.68
447.5,545.19,338,12,388,0.81
447.5,545.19,338,15,557,1.37
447.5,545.19,338,18,652,2.11
447.5,545.19,338,21,710,9.81
447.5,545.19,338,24,751,11.97
447.5,545.19,338,27,783,20.27
637.03,507.3,308,12,769,0.68
637.03,507.3,308,15,817,0.93
637.03,507.3,308,18,849,1.26
637.03,507.3,308,21,875,1.41
637.03,507.3,308,24,896,1.6
637.03,507.3,308,27,914,1.7
637.03,507.3,318,12,661,0.96
637.03,507.3,318,15,744,1.85
637.03,507.3,318,18,791,2.47
637.03,507.3,318,21,824,2.92
637.03,507.3,318,24,851,3.12
637.03,507.3,318,27,872,3.43
637.03,507.3,328,12,509,1.56
637.03,507.3,328,15,656,2.91
637.03,507.3,328,18,725,4.09
637.03,507.3,328,21,769,5.03
637.03,507.3,328,24,802,7.08
637.03,507.3,328,27,829,9.09
637.03,507.3,338,12,388,2.09
637.03,507.3,338,15,557,3.91
637.03,507.3,338,18,652,4.94
637.03,507.3,338,21,710,7.29
637.03,507.3,338,24,751,9.6
637.03,507.3,338,27,783,12.57
532.56,470,308,12,769,5
532.56,470,308,15,817,13
532.56,470,308,18,849,18.6
532.56,470,308,21,875,21
532.56,470,308,24,896,22.6
532.56,470,308,27,914,23.1
532.56,470,318,12,661,12.9
532.56,470,318,15,744,23
532.56,470,318,18,791,29.5
532.56,470,318,21,824,32.3
532.56,470,318,24,851,34.5
532.56,470,318,27,872,36.8
532.56,470,328,12,509,29.5
532.56,470,328,15,656,38.3
532.56,470,328,18,725,44
532.56,470,328,21,769,51.3
532.56,470,328,24,802,55.2
532.56,470,328,27,829,57.4
532.56,470,338,12,388,41.7
532.56,470,338,15,557,51.8
532.56,470,338,18,652,62
532.56,470,338,21,710,68.7
532.56,470,338,24,751,79
532.56,470,338,27,783,85.6
371.51,370.15,308,12,768.4,51
371.51,370.15,308,16,828.1,63.6
371.51,370.15,308,20,866.46,86.1
371.51,370.15,308,24,895.54,96.2
371.51,370.15,308,28,919.23,110
371.51,370.15,308,32,939.39,130
371.51,370.15,308,36,957.02,199
371.51,370.15,308,40,972.74,226
371.51,370.15,318,12,659.73,39.9
371.51,370.15,318,16,761.07,80.2
371.51,370.15,318,20,813.52,125
371.51,370.15,318,24,850.1,167
371.51,370.15,318,28,878.62,205
371.51,370.15,318,32,902.22,287
371.51,370.15,318,36,922.46,334
371.51,370.15,318,40,940.24,415
371.51,370.15,328,12,506.85,27.3
371.51,370.15,328,16,682.39,65.6
371.51,370.15,328,20,755.52,163
371.51,370.15,328,24,801.92,203
371.51,370.15,328,28,836.35,319
371.51,370.15,328,32,863.97,379
371.51,370.15,328,36,887.18,447
371.51,370.15,328,40,907.27,577
371.51,370.15,338,12,384.17,18.8
371.51,370.15,338,16,593.75,62.2
371.51,370.15,338,20,692.68,195
371.51,370.15,338,24,751.17,328
371.51,370.15,338,28,792.59,487
371.51,370.15,338,32,824.82,575
371.51,370.15,338,36,851.34,829
371.51,370.15,338,40,873.95,989
408.05,504.14,308,12,768,1.98
408.05,504.14,308,15,816,2.27
408.05,504.14,308,18,848,2.81
408.05,504.14,308,21,874,3.45
408.05,504.14,308,24,896,4
408.05,504.14,308,27,914,4.68
408.05,504.14,318,12,660,1.14
408.05,504.14,318,15,743,1.89
408.05,504.14,318,18,790,2.48
408.05,504.14,318,21,824,3.32
408.05,504.14,318,24,850,4.82
408.05,504.14,318,27,872,6.18
408.05,504.14,328,12,506,0.72
408.05,504.14,328,15,654,1.55
408.05,504.14,328,18,724,2.18
408.05,504.14,328,21,769,3.51
408.05,504.14,328,24,802,5.31
408.05,504.14,328,27,829,8.01
408.05,504.14,338,12,384,0.18
408.05,504.14,338,15,555,0.8
408.05,504.14,338,18,651,1.68
408.05,504.14,338,21,710,3.18
408.05,504.14,338,24,751,6.8
408.05,504.14,338,27,784,10.13
276.2,385.15,308,12.2,771,64.8
276.2,385.15,308,15.2,818,50.4
276.2,385.15,308,18.2,850,48.5
276.2,385.15,308,21.3,876,55.9
276.2,385.15,308,24.3,897,65.9
276.2,385.15,308,27.4,916,80.4
276.2,385.15,308,30.4,931,90.6
276.2,385.15,308,33.4,946,92.2
276.2,385.15,308,35.5,955,103
276.2,385.15,318,12.2,661,39.6
276.2,385.15,318,15.2,745,34.5
276.2,385.15,318,18.2,792,72.8
276.2,385.15,318,21.3,826,76.3
276.2,385.15,318,24.3,852,74.5
276.2,385.15,318,27.4,875,114.6
276.2,385.15,318,30.4,893,141.6
276.2,385.15,318,33.4,910,142.2
276.2,385.15,318,35.5,919,153.9
276.2,385.15,328,12.2,516,27.3
276.2,385.15,328,15.2,657,39.1
276.2,385.15,328,18.2,726,83.5
276.2,385.15,328,21.3,771,88
276.2,385.15,328,24.3,804,113.3
276.2,385.15,328,27.4,831,145.2
276.2,385.15,328,30.4,853,161.3
276.2,385.15,328,33.4,872,191.1
276.2,385.15,328,35.5,884,240
276.2,385.15,338,12.2,396,12.4
276.2,385.15,338,15.2,561,20.8
276.2,385.15,338,18.2,654,94.9
276.2,385.15,338,21.3,712,101.4
276.2,385.15,338,24.3,754,130.5
276.2,385.15,338,27.4,786,176.3
276.2,385.15,338,30.4,812,239.8
276.2,385.15,338,33.4,834,297.9
276.2,385.15,338,35.5,848,361.5
276.2,385.15,348,12.2,327,4.6
276.2,385.15,348,15.2,477,11.6
276.2,385.15,348,18.2,585,93.6
276.2,385.15,348,21.3,652,103.3
276.2,385.15,348,24.3,702,160.1
276.2,385.15,348,27.4,740,231.7
276.2,385.15,348,30.4,772,334.4
276.2,385.15,348,33.4,796,427.7
276.2,385.15,348,35.5,811,509.3
628.75,361.65,308,10,713.68,5.91
628.75,361.65,308,15,816.2,8.98
628.75,361.65,308,20,865.92,11.77
628.75,361.65,308,25,902,13.92
628.75,361.65,308,30,930.16,16.01
628.75,361.65,318,10,499.84,2.53
628.75,361.65,318,15,742.72,8.11
628.75,361.65,318,20,813.34,11.48
628.75,361.65,318,25,857.56,15.42
628.75,361.65,318,30,891.88,18.92
628.75,361.65,328,10,325.6,1.63
628.75,361.65,328,15,653.84,7.26
628.75,361.65,328,20,754.6,11.91
628.75,361.65,328,25,812.24,17.48
628.75,361.65,328,30,850.95,22.62
506.02,559,308,12,768,0.454
506.02,559,308,15,816,1.727
506.02,559,308,18,849,1.92
506.02,559,308,21,874,2.596
506.02,559,308,24,896,3.48
506.02,559,308,27,914,6.117
506.02,559,318,12,660,0.74
506.02,559,318,15,743,2.298
506.02,559,318,18,790,3.296
506.02,559,318,21,824,3.977
506.02,559,318,24,850,4.532
506.02,559,318,27,872,6.938
506.02,559,328,12,507,0.999
506.02,559,328,15,655,3.084
506.02,559,328,18,724,4.592
506.02,559,328,21,769,5.105
506.02,559,328,24,802,5.932
506.02,559,328,27,829,8.275
506.02,559,338,12,384,1.611
506.02,559,338,15,555,3.521
506.02,559,338,18,651,4.941
506.02,559,338,21,710,6.3
506.02,559,338,24,751,6.901
506.02,559,338,27,783,9.078
493.6,483.15,308,12,769,0.486
493.6,483.15,308,15,817,0.514
493.6,483.15,308,18,849,0.611
493.6,483.15,308,21,875,0.78
493.6,483.15,308,24,896,1.367
493.6,483.15,308,27,914,2.043
493.6,483.15,318,12,661,0.274
493.6,483.15,318,15,744,0.343
493.6,483.15,318,18,791,0.498
493.6,483.15,318,21,824,0.939
493.6,483.15,318,24,851,1.562
493.6,483.15,318,27,872,2.475
493.6,483.15,328,12,509,0.181
493.6,483.15,328,15,656,0.252
493.6,483.15,328,18,725,0.403
493.6,483.15,328,21,769,1.049
493.6,483.15,328,24,802,1.758
493.6,483.15,328,27,829,3.382
493.6,483.15,338,12,388,0.1
493.6,483.15,338,15,557,0.199
493.6,483.15,338,18,652,0.362
493.6,483.15,338,21,710,1.269
493.6,483.15,338,24,751,1.928
493.6,483.15,338,27,783,4.406
194.15,485.15,308,12,768.42,657
194.15,485.15,308,16,828.1,795
194.15,485.15,308,20,866.48,882
194.15,485.15,308,24,895.54,973
194.15,485.15,308,28,919.23,1070
194.15,485.15,308,32,939.39,1200
194.15,485.15,308,36,957.02,1360
194.15,485.15,308,40,972.74,1470
194.15,485.15,318,12,659.73,534
194.15,485.15,318,16,761.07,748
194.15,485.15,318,20,813.52,1130
194.15,485.15,318,24,850.1,1330
194.15,485.15,318,28,878.62,1610
194.15,485.15,318,32,902.22,1880
194.15,485.15,318,36,922.46,2050
194.15,485.15,318,40,940.24,2260
194.15,485.15,328,12,506.85,486
194.15,485.15,328,16,682.39,752
194.15,485.15,328,20,755.52,1530
194.15,485.15,328,24,801.92,1860
194.15,485.15,328,28,836.35,2230
194.15,485.15,328,32,863.97,2610
194.15,485.15,328,36,887.18,2890
194.15,485.15,328,40,907.27,3530
194.15,485.15,338,12,384.17,430
194.15,485.15,338,16,593.75,843
194.15,485.15,338,20,692.68,1730
194.15,485.15,338,24,751.17,2310
194.15,485.15,338,28,792.59,3050
194.15,485.15,338,32,824.82,3590
194.15,485.15,338,36,851.34,4000
194.15,485.15,338,40,873.95,5280
228.2,474.15,308,12,768.42,50.4
228.2,474.15,308,16,828.1,82.3
228.2,474.15,308,20,866.48,118
228.2,474.15,308,24,895.54,137
228.2,474.15,308,28,919.23,176
228.2,474.15,308,32,939.39,197
228.2,474.15,308,36,957.02,218
228.2,474.15,308,40,972.74,283
228.2,474.15,318,12,659.73,45.1
228.2,474.15,318,16,761.07,93.7
228.2,474.15,318,20,813.52,155
228.2,474.15,318,24,850.1,187
228.2,474.15,318,28,878.62,240
228.2,474.15,318,32,902.22,269
228.2,474.15,318,36,922.46,340
228.2,474.15,318,40,940.24,506
228.2,474.15,328,12,506.85,36.9
228.2,474.15,328,16,682.39,91.1
228.2,474.15,328,20,755.52,177
228.2,474.15,328,24,801.92,282
228.2,474.15,328,28,836.35,342
228.2,474.15,328,32,863.97,427
228.2,474.15,328,36,887.18,560
228.2,474.15,328,40,907.27,788
228.2,474.15,338,12,384.17,28.4
228.2,474.15,338,16,593.75,77.9
228.2,474.15,338,20,692.68,205
228.2,474.15,338,24,751.17,371
228.2,474.15,338,28,792.59,490
228.2,474.15,338,32,824.82,715
228.2,474.15,338,36,851.34,874
228.2,474.15,338,40,873.95,1070
246.3,389.15,308,12,768.42,80.3
246.3,389.15,308,16,828.1,126
246.3,389.15,308,20,866.48,149
246.3,389.15,308,24,895.54,172
246.3,389.15,308,28,919.23,197
246.3,389.15,308,32,939.39,226
246.3,389.15,308,36,957.02,245
246.3,389.15,308,40,972.74,274
246.3,389.15,318,12,659.73,51.7
246.3,389.15,318,16,761.07,119
246.3,389.15,318,20,813.52,172
246.3,389.15,318,24,850.1,210
246.3,389.15,318,28,878.62,273
246.3,389.15,318,32,902.22,326
246.3,389.15,318,36,922.46,346
246.3,389.15,318,40,940.24,371
246.3,389.15,328,12,506.85,46.9
246.3,389.15,328,16,682.39,91.9
246.3,389.15,328,20,755.52,210
246.3,389.15,328,24,801.92,246
246.3,389.15,328,28,836.35,348
246.3,389.15,328,32,863.97,427
246.3,389.15,328,36,887.18,490
246.3,389.15,328,40,907.27,618
246.3,389.15,338,12,384.17,37
246.3,389.15,338,16,593.75,89.1
246.3,389.15,338,20,692.68,212
246.3,389.15,338,24,751.17,312
246.3,389.15,338,28,792.59,440
246.3,389.15,338,32,824.82,545
246.3,389.15,338,36,851.34,633
246.3,389.15,338,40,873.95,865
474,575,308,12,768,1.87
474,575,308,15,816,2.12
474,575,308,18,849,2.79
474,575,308,21,874,3.06
474,575,308,24,896,4.44
474,575,308,27,914,6.1
474,575,318,12,660,2.52
474,575,318,15,743,3.22
474,575,318,18,790,4.15
474,575,318,21,824,5.52
474,575,318,24,850,6.23
474,575,318,27,872,8.16
474,575,328,12,507,4.12
474,575,328,15,655,5.1
474,575,328,18,724,5.74
474,575,328,21,769,6.53
474,575,328,24,802,8.12
474,575,328,27,829,12.83
474,575,338,12,384,4.68
474,575,338,15,555,6.52
474,575,338,18,651,7.01
474,575,338,21,710,7.81
474,575,338,24,751,9.55
474,575,338,27,783,14.25
